Image ID,Precision,Recall,F1 score,IoU
0,0.3333333432674408,0.3333333333333333,0.5000000035762787,0.22055089512378587
1,0.8333333333333333,1.0,0.6524822695035462,0.3462953966516844
2,1.0,1.0,0.7162790697674419,0.42209900194326383
3,0.8333333333333333,1.0,0.631578947368421,0.29142692277035526
4,0.5,1.0,0.5555555555555556,0.45115540919757996
